Reference,Product,Unit_Price,Quantity,Total,Status
174,LL-37 5mg,€78.69,1,€78.69,Ordered (not in conversation)
5,Epithalon 10mg,€41.31,10,€413.10,Ordered
162,Thymalin 20mg,€52.13,5,€260.65,Ordered
178,Pinealon 10mg,€49.17,1,€49.17,Ordered
160,Semax 10mg,€34.42,2,€68.84,Ordered
1,BPC-157 5mg,€31.47,3,€94.41,Ordered
165,KPV 5mg,€31.47,10,€314.70,Ordered
57,Bacteriostatic Water 10ml,€9.83,5,€49.15,Supplies
9,AOD-9604 5mg,€37.38,2,€74.75,Ordered (not in conversation)
57,Bacteriostatic Water 10ml,€9.83,5,€49.13,Supplies
4,DSIP 10mg,€34.42,1,€34.42,Ordered (not in conversation)
175,Retatrutide 10mg,€137.71,3,€413.13,Ordered
,MOTS-c 10mg,€42.29,10,€422.90,Ordered
,GHK-Cu 50mg,€62.94,3,€188.82,Ordered
,BPC-157 5mg,€31.47,3,€94.41,Ordered (additional)
,Bacteriostatic Water 10ml,€9.83,5,€49.15,Supplies
,Ipamorelin 5mg,€29.50,4,€118.00,Ordered
,Mod GRF 1-29 (CJC-1295 no DAC) 5mg,€49.17,3,€147.51,Ordered
,TB-500 5mg,€,,,Ordered (confirmed by user)
